,modified_label,likeNum,commentNum,contentsNum,totalVisits,totalNeighbor,img_count,hashtag_counts,text_sentence_counts,title_length,title_word_counts,text_length,text_word_counts,average_visits
27,0,12,10,1492,1039694,1396,14,9,51,36,5,652,144,696.8458445040214
28,0,74,83,495,1365138,3763,22,12,74,48,9,2158,434,2757.8545454545456
29,0,10,4,840,1721783,1656,18,14,89,53,11,1299,280,2049.741666666667
30,0,10,4,1760,2827049,1211,30,10,58,33,7,2096,496,1606.2778409090909
31,1,6,3,892,1186932,948,34,6,118,31,8,2148,505,1330.6412556053813
32,0,22,4,892,1778542,1801,19,6,97,27,5,1560,340,1993.8811659192825
33,0,9,2,167,670030,394,20,7,51,27,7,773,171,4012.1556886227545
34,1,11,1,2190,5772732,3188,22,8,45,30,9,1350,310,2635.9506849315067
35,0,9,2,782,2781618,1222,15,9,126,35,9,2111,473,3557.0562659846546
36,0,20,16,54,98113,256,20,7,59,21,5,994,256,1816.9074074074072
37,0,6,4,452,941562,454,24,8,48,18,6,1000,238,2083.101769911505
38,0,59,81,597,943921,2730,18,30,133,45,12,2913,500,1581.107202680067
39,0,12,16,161,560172,3080,17,7,47,16,1,939,205,3479.3291925465837
40,0,9,3,2600,3181091,1943,29,9,49,26,7,1357,297,1223.4965384615384
41,0,36,27,386,1681510,2290,32,8,107,29,8,2136,513,4356.243523316062
42,0,25,8,2240,8798098,7424,18,8,32,24,6,1616,322,3927.7223214285714
43,0,221,63,594,1804028,11975,21,5,46,27,7,1184,259,3037.084175084175
44,0,10,8,606,2165676,3697,33,4,65,33,8,1871,440,3573.7227722772277
45,0,16,1,470,1429799,1292,16,14,59,34,10,1095,265,3042.1255319148936
46,0,19,8,2589,12839939,741,36,13,102,31,8,2117,503,4959.420239474701
47,0,23,7,477,1598383,3850,30,18,40,19,5,2096,472,3350.907756813417
48,0,10,9,325,502556,435,18,21,27,40,5,2224,535,1546.3261538461538
49,0,16,2,1269,2651103,3461,37,7,108,31,7,2141,547,2089.127659574468
50,0,26,10,1971,10414237,9969,22,8,113,23,6,2754,651,5283.732623033993
51,0,18,19,4225,1818310,865,52,4,152,21,5,2753,637,430.3692307692308
52,0,8,5,1211,882454,2349,10,10,76,26,7,1340,328,728.6985962014863
53,0,10,2,1484,2944972,889,12,6,46,26,7,776,184,1984.482479784367
54,0,10,1,582,694488,437,19,4,70,32,8,1243,296,1193.278350515464
55,0,8,6,1428,233135,417,8,14,75,24,4,1280,259,163.25980392156862
56,0,7,0,871,534107,1074,8,6,44,26,7,734,169,613.211251435132
57,0,13,4,425,406593,370,39,9,50,37,11,1767,432,956.689411764706
58,0,33,6,2419,5810089,8507,11,6,28,30,7,1149,245,2401.8557255064075
59,0,12,4,885,1564595,1013,20,4,38,31,8,683,160,1767.90395480226
60,0,55,41,1005,1679862,5089,15,27,123,29,6,1522,302,1671.5044776119405
